No.,Time,Source,Destination,Protocol,Length,Info
32028,64.814438,192.168.178.52,192.168.178.59,RTP,1162,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30641, Time=2752871974"
32029,64.817567,192.168.178.52,192.168.178.59,RTP,1162,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30642, Time=2752871974"
32031,64.822391,192.168.178.52,192.168.178.59,RTP,1162,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30643, Time=2752871974"
32033,64.824287,192.168.178.52,192.168.178.59,RTP,163,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29702, Time=3842515439"
32034,64.826621,192.168.178.52,192.168.178.59,RTP,1162,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30644, Time=2752871974"
32036,64.829446,192.168.178.52,192.168.178.59,RTP,1162,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30645, Time=2752871974"
32037,64.832726,192.168.178.52,192.168.178.59,RTP,1162,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30646, Time=2752871974"
32038,64.836925,192.168.178.52,192.168.178.59,RTP,1162,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30647, Time=2752871974, Mark"
32041,64.845198,192.168.178.52,192.168.178.59,RTP,157,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29703, Time=3842516399"
32048,64.851848,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30648, Time=2752877734"
32049,64.851956,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30649, Time=2752877734"
32050,64.853882,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30650, Time=2752877734"
32056,64.859545,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30651, Time=2752877734"
32063,64.860774,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30652, Time=2752877734"
32065,64.864456,192.168.178.52,192.168.178.59,RTP,157,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29704, Time=3842517359"
32069,64.866709,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30653, Time=2752877734"
32070,64.869714,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30654, Time=2752877734"
32072,64.874281,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30655, Time=2752877734"
32073,64.87935,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30656, Time=2752877734"
32074,64.881932,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30657, Time=2752877734"
32076,64.885053,192.168.178.52,192.168.178.59,RTP,156,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29705, Time=3842518319"
32077,64.886607,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30658, Time=2752877734"
32079,64.88959,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30659, Time=2752877734"
32080,64.894159,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30660, Time=2752877734"
32081,64.898412,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30661, Time=2752877734"
32082,64.90331,192.168.178.52,192.168.178.59,RTP,1139,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30662, Time=2752877734, Mark"
32084,64.904925,192.168.178.52,192.168.178.59,RTP,147,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29706, Time=3842519279"
32085,64.915064,192.168.178.52,192.168.178.59,RTP,1132,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30663, Time=2752883494"
32086,64.915181,192.168.178.52,192.168.178.59,RTP,1132,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30664, Time=2752883494"
32090,64.915231,192.168.178.52,192.168.178.59,RTP,1132,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30665, Time=2752883494"
32094,64.918231,192.168.178.52,192.168.178.59,RTP,1132,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30666, Time=2752883494"
32096,64.921369,192.168.178.52,192.168.178.59,RTP,1132,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30667, Time=2752883494"
32102,64.924474,192.168.178.52,192.168.178.59,RTP,151,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29707, Time=3842520239"
32103,64.925332,192.168.178.52,192.168.178.59,RTP,1133,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30668, Time=2752883494"
32111,64.929641,192.168.178.52,192.168.178.59,RTP,1133,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30669, Time=2752883494"
32114,64.933616,192.168.178.52,192.168.178.59,RTP,1133,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30670, Time=2752883494"
32115,64.936825,192.168.178.52,192.168.178.59,RTP,1133,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30671, Time=2752883494"
32117,64.940728,192.168.178.52,192.168.178.59,RTP,1133,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30672, Time=2752883494"
32118,64.94445,192.168.178.52,192.168.178.59,RTP,1133,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30673, Time=2752883494"
32119,64.944793,192.168.178.52,192.168.178.59,RTP,155,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29708, Time=3842521199"
32121,64.948817,192.168.178.52,192.168.178.59,RTP,1133,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30674, Time=2752883494"
32122,64.952581,192.168.178.52,192.168.178.59,RTP,1133,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30675, Time=2752883494"
32123,64.956548,192.168.178.52,192.168.178.59,RTP,1133,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30676, Time=2752883494"
32124,64.960177,192.168.178.52,192.168.178.59,RTP,1133,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30677, Time=2752883494, Mark"
32125,64.964994,192.168.178.52,192.168.178.59,RTP,152,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29709, Time=3842522159"
32134,64.979556,192.168.178.52,192.168.178.59,RTP,1123,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30678, Time=2752889254"
32135,64.979677,192.168.178.52,192.168.178.59,RTP,1123,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30679, Time=2752889254"
32136,64.979742,192.168.178.52,192.168.178.59,RTP,1123,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30680, Time=2752889254"
32137,64.979799,192.168.178.52,192.168.178.59,RTP,1123,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30681, Time=2752889254"
32138,64.981695,192.168.178.52,192.168.178.59,RTP,1123,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30682, Time=2752889254"
32146,64.985184,192.168.178.52,192.168.178.59,RTP,141,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29710, Time=3842523119"
